Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""Page_Mata Kuliah - Simikro/i_Teknik Informatika_fa fa-trash""), 0)",Firefox 138.0.4,,,20-05-2025 03:22:56,20-05-2025 03:22:56,0.285s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/i_Teknik Informatika_fa fa-trash""))",Firefox 138.0.4,,,20-05-2025 03:22:56,20-05-2025 03:22:57,0.573s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/button_Yes""))",Firefox 138.0.4,,,20-05-2025 03:22:57,20-05-2025 03:23:00,3.545s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:23:00,20-05-2025 03:23:01,0.713s,PASSED
"navigateToUrl(""http://127.0.0.1:8000/dashboard"")",Firefox 138.0.4,,,20-05-2025 03:23:01,20-05-2025 03:23:09,8.351s,PASSED
,,,,,,,
Test Cases/User Flow/Prodi/TC_AssessingSubmission,Firefox 138.0.4,Assesses a student’s submission as a study program representative.,,20-05-2025 03:23:10,20-05-2025 03:24:29,1m - 19.164s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/span_Pengajuan Konversi""))",Firefox 138.0.4,,,20-05-2025 03:23:10,20-05-2025 03:23:18,8.072s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/td_Eko Prasetyo""))",Firefox 138.0.4,,,20-05-2025 03:23:18,20-05-2025 03:23:23,4.118s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/span_MENUNGGU PENILAIAN""), ""MENUNGGU PENILAIAN"")",Firefox 138.0.4,,,20-05-2025 03:23:23,20-05-2025 03:23:23,0.701s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Eko Prasetyo_fas fa-file-pdf_1""))",Firefox 138.0.4,,,20-05-2025 03:23:23,20-05-2025 03:23:24,0.254s,PASSED
